StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,RelevantID_First Click,RelevantID_Last Click,RelevantID_Page Submit,RelevantID_Click Count,Consent 1,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q7,Q8,Q9,Q10_1,Q11_1,Q11_2,Q12,Q13,Q14 - version 1,Q14 - version 2,Q15 - Group 1,Q15 - Group 2,Q15 - Group 3,Q15 - Group 4,Q15 - Group 5,Q15 - Group 6,Q15 - Group 7,Q15 - Group 8,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q20,Q21,Q22,SC0,opp,isNew,Q_TotalDuration,rid,RISN,V,transaction_id,expected_loi,expected_ir,gc,term,SVID,PS,Q_BallotBoxStuffing,Q_CHL,tg,age,LS,ClientDuration,gender,university_education,age_group,weight_poststratify,count,sample_proportion,source.x,Freq,population_proportion,source.y,weight_manually_calculated
2024-02-22T05:05:55Z,2024-02-22T05:08:55Z,IP Address,100,179,True,2024-02-22T05:08:56Z,R_3IGgAt1LJlcw2gt,anonymous,EN,1,NA,0,0,NA,0,0,1.083,0,Подтверждаю,38,Ростовская область,В городе 100-250 тыс. жителей,Мужской,Высшее образование (бакалавриат / специалитет),"Отчасти доверяют, отчасти не доверяют","Отчасти доверяют, отчасти не доверяют",Отказ от ответа,Владимир Путин,Затрудняюсь ответить,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Иногда,Газеты и журналы (в т.ч. их электронные версии),1,NA,NA,NA,NA,NA,NA,"Oпределенно, не одобряю ",NA,NA,"Oпределенно, не одобряю ",4,скорее неприменимо,абсолютно не применимо,абсолютно не применимо,абсолютно не применимо,абсолютно не применимо,Скорее нет,Скорее да,Скорее да,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит",Практически ничего не изменилось,Практически ничего не изменилось,297,Qual5353-8-11-Rissianx2panel,NA,179,NA,NA,F,7iqkm6FK5kESAorz7VtWJC,5,.75,1,NA,20962598,1663,NA,anonymous,NA,35-44,NA,179,Man,BA+,35-44,89611.74285714286,35,0.02147239263803681,February Survey,3136411,0.026253474498807453,Census 2020,1.2226618123730328
2024-02-22T05:05:52Z,2024-02-22T05:09:32Z,IP Address,100,219,True,2024-02-22T05:09:32Z,R_2kZwUDcx84NUeJj,anonymous,EN,0.89999997615814209,NA,0,0,NA,0,0,1.03,0,Подтверждаю,31,Москва,Москва,Мужской,Высшее образование (бакалавриат / специалитет),Полностью доверяют,Полностью доверяют,Одобряю,Владимир Путин,"Подчиняться закону во всех случаях, без исключений",Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Иногда,Телевидение,1,NA,NA,NA,NA,NA,NA,"Oпределенно, не одобряю ",NA,NA,"Oпределенно, не одобряю ",0 (совершенно не оправданно),частично применимо,скорее неприменимо,частично применимо,скорее неприменимо,скорее неприменимо,Скорее нет,Скорее нет,Скорее да,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит",Практически ничего не изменилось,Практически ничего не изменилось,97,Qual5353-8-11-Rissianx2panel,NA,219,NA,NA,F,6Fhlirx8voxCixrEhtKPLF,5,.75,1,NA,20962598,1663,NA,anonymous,NA,25-34,NA,219,Man,BA+,25-34,150405.66666666666,18,0.011042944785276074,February Survey,2707302,0.02266159760872233,Census 2020,2.0521335612343
2024-02-22T05:05:47Z,2024-02-22T05:09:33Z,IP Address,100,226,True,2024-02-22T05:09:35Z,R_6mOvoU6zs2RRoVO,anonymous,EN,0.89999997615814209,NA,0,0,NA,0,0,1.022,0,Подтверждаю,37,Саратовская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (магистратура),Совсем не доверяют,Скорее доверяют,Не одобряю,Григорий Явлинский,"Подчиняться закону во всех случаях, без исключений","В чем-то согласны, в чем-то нет","Я считаю этот способ допустимым, и сам(а) участвовал (а)",Затрудняюсь ответить,Постоянно,Социальные сети и мессенджеры,NA,1,NA,NA,NA,NA,NA,NA,NA,"Cкорее, не одобряю  ","Определенно, одобряю  ",Затрудняюсь ответить   ,скорее неприменимо,частично применимо,абсолютно не применимо,частично применимо,частично применимо,Затрудняюсь ответить,Затрудняюсь ответить,Нет,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна","Стало немного хуже, чем раньше","Стало немного хуже, чем раньше",204,Qual5353-8-11-Rissianx2panel,NA,226,NA,NA,F,5WYi2zZWSfgT3fAQnqD83j,5,.75,1,NA,20962598,1663,NA,anonymous,NA,35-44,NA,226,Woman,BA+,35-44,29301.213333333333,150,0.09202453987730061,February Survey,4395182,0.036790075839747256,Census 2020,0.3997854907919202
2024-02-22T05:05:17Z,2024-02-22T05:09:46Z,IP Address,100,269,True,2024-02-22T05:09:47Z,R_6ilPSvT4kaDsauF,anonymous,EN,1,NA,0,0,NA,0,0,1.01,0,Подтверждаю,35,Республика Татарстан (Татарстан),В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской,Незаконченное высшее (не менее трех курсов вуза),Полностью доверяют,"Отчасти доверяют, отчасти не доверяют",Одобряю,Владимир Путин,"Подчиняться закону во всех случаях, без исключений",Совершенно согласны,Я считаю такой способ недопустимым и сам(а) не участвовал(а),Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Социальные сети и мессенджеры,2,NA,NA,NA,NA,"Oпределенно, не одобряю ",NA,NA,NA,NA,"Oпределенно, не одобряю ",10 (полностью оправданно),частично применимо,абсолютно не применимо,частично применимо,абсолютно не применимо,абсолютно не применимо,Скорее нет,Нет,Скорее да,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна",Практически ничего не изменилось,Практически ничего не изменилось,123,Qual5353-8-11-Rissianx2panel,NA,269,NA,NA,F,05G5qeqU71dRlbvPhMAXuM,5,.75,1,NA,20962598,1663,NA,anonymous,NA,35-44,NA,269,Man,BA-,35-44,201759.5,44,0.026993865030674847,February Survey,8877418,0.07430884124505821,Census 2020,2.752804800669202
2024-02-22T05:05:25Z,2024-02-22T05:09:46Z,IP Address,100,261,True,2024-02-22T05:09:47Z,R_8IcMJI15rM2s9py,anonymous,EN,0.89999997615814209,NA,0,0,NA,0,0,1.0589999999999999,0,Подтверждаю,39,Волгоградская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (магистратура),Полностью доверяют,Полностью доверяют,Одобряю,Владимир Путин,"Подчиняться закону во всех случаях, без исключений",Совершенно согласны,"Я считаю этот способ допустимым, и сам(а) участвовал (а)","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Постоянно,Телевидение,1,NA,NA,NA,NA,NA,NA,NA,"Oпределенно, не одобряю ",NA,"Oпределенно, не одобряю ",10 (полностью оправданно),Полностью применимо,абсолютно не применимо,Полностью применимо,абсолютно не применимо,абсолютно не применимо,Скорее да,Нет,Да,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна","Стало значительно лучше, чем раньше","Стало значительно лучше, чем раньше",71,Qual5353-8-11-Rissianx2panel,NA,261,NA,NA,F,4SIv4yiWDe08DUOjejEwh9,5,.75,1,NA,20962598,1663,NA,anonymous,NA,35-44,NA,261,Woman,BA+,35-44,29301.213333333333,150,0.09202453987730061,February Survey,4395182,0.036790075839747256,Census 2020,0.3997854907919202
2024-02-22T05:05:27Z,2024-02-22T05:09:48Z,IP Address,100,261,True,2024-02-22T05:09:49Z,R_7ZJOjfLRln7W7Zv,anonymous,EN,1,NA,0,25,NA,0,0,1.105,0,Подтверждаю,53,Самарская область,В городе 500 тыс.-1 млн. жителей,Мужской,Незаконченное высшее (не менее трех курсов вуза),Совсем не доверяют,Совсем не доверяют,Не одобряю,Не стал бы участвовать в выборах,Затрудняюсь ответить,Совершенно не согласны,Затрудняюсь ответить,Затрудняюсь ответить,Иногда,Интернет-ресурсы,NA,0,NA,NA,NA,NA,NA,NA,NA,"Определенно, одобряю","Определенно, одобряю  ",0 (совершенно не оправданно),абсолютно не применимо,абсолютно не применимо,абсолютно не применимо,абсолютно не применимо,абсолютно не применимо,Скорее нет,Затрудняюсь ответить,Затрудняюсь ответить,Денег хватает только на самое необходимое ,"Стало значительно хуже, чем раньше","Стало значительно хуже, чем раньше",382,Qual5353-8-11-Rissianx2panel,NA,261,NA,NA,F,244hOfeLv7hvrXohjUJqXr,5,.75,1,NA,20962598,1663,NA,anonymous,NA,45-54,NA,261,Man,BA-,45-54,153742.125,48,0.029447852760736196,February Survey,7379622,0.061771469997981276,Census 2020,2.0976561686814477
2024-02-22T05:05:52Z,2024-02-22T05:10:20Z,IP Address,100,266,True,2024-02-22T05:10:21Z,R_6PK5PuikK0vhJ7P,anonymous,EN,1,NA,0,0,NA,0,0,1.784,0,Подтверждаю,34,Республика Татарстан (Татарстан),В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (магистратура),Скорее доверяют,"Отчасти доверяют, отчасти не доверяют",Затрудняюсь ответить,Григорий Явлинский,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее не согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Постоянно,Телевидение,1,NA,NA,NA,NA,NA,"Определенно, одобряю",NA,NA,NA,"Cкорее, одобряю",0 (совершенно не оправданно),абсолютно не применимо,Полностью применимо,абсолютно не применимо,Полностью применимо,Полностью применимо,Нет,Да,Нет,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало значительно хуже, чем раньше","Стало немного хуже, чем раньше",213,Qual5353-8-11-Rissianx2panel,NA,266,NA,NA,F,0YirJ0LcPwzMWZsP3cB1LJ,5,.75,1,NA,20962598,1663,NA,anonymous,NA,25-34,NA,266,Woman,BA+,25-34,19144.077319587628,194,0.11901840490797547,February Survey,3713951,0.03108779999442689,Census 2020,0.2612016185098754
2024-02-22T05:06:00Z,2024-02-22T05:10:28Z,IP Address,100,267,True,2024-02-22T05:10:28Z,R_5zMAdvRFxFNgmcP,anonymous,EN,1,NA,0,0,NA,0,0,1.085,0,Подтверждаю,44,Москва,В городе 250-500 тыс. жителей,Мужской,Высшее образование (бакалавриат / специалитет),Полностью доверяют,Полностью доверяют,Одобряю,Не стал бы участвовать в выборах,"Подчиняться закону во всех случаях, без исключений",Совершенно согласны,Я считаю такой способ недопустимым и сам(а) не участвовал(а),Я считаю такой способ недопустимым и сам(а) не участвовал(а),Иногда,Телевидение,NA,2,NA,NA,NA,NA,NA,NA,"Cкорее, одобряю",NA,"Cкорее, одобряю",9,Полностью применимо,абсолютно не применимо,Полностью применимо,абсолютно не применимо,абсолютно не применимо,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного хуже, чем раньше",Практически ничего не изменилось,97,Qual5353-8-11-Rissianx2panel,NA,267,NA,NA,F,0EZs29J8YFkV4T4bIc7lHU,5,.75,1,NA,20962598,1663,NA,anonymous,NA,35-44,NA,267,Man,BA+,35-44,89611.74285714286,35,0.02147239263803681,February Survey,3136411,0.026253474498807453,Census 2020,1.2226618123730328
2024-02-22T05:07:42Z,2024-02-22T05:10:37Z,IP Address,100,175,True,2024-02-22T05:10:39Z,R_4L0AH7jRJHMOLR7,anonymous,EN,1,NA,0,0,NA,0,0,1.133,0,Подтверждаю,21,Новосибирская область,В городе / поселке / селе 100 тыс. и менее жителей,Женский,Высшее образование (бакалавриат / специалитет),Скорее доверяют,"Отчасти доверяют, отчасти не доверяют",Затрудняюсь ответить,Владимир Путин,Затрудняюсь ответить,Совершенно согласны,Я считаю такой способ недопустимым и сам(а) не участвовал(а),Я считаю такой способ недопустимым и сам(а) не участвовал(а),Иногда,Социальные сети и мессенджеры,0,NA,NA,Затрудняюсь ответить   ,NA,NA,NA,NA,NA,NA,Затрудняюсь ответить   ,5,Отказ от ответа,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного хуже, чем раньше","Стало немного хуже, чем раньше",287,Qual5353-8-11-Rissianx2panel,NA,175,NA,NA,F,2FCrkIj3xvagoJ7aS8pwOK,5,.75,1,NA,20962598,1663,NA,anonymous,NA,18-24,NA,175,Woman,BA+,18-24,12086.423076923076,52,0.03190184049079755,February Survey,628494,0.005260838328157085,Census 2020,0.16490704759415478
2024-02-22T05:05:09Z,2024-02-22T05:10:40Z,IP Address,100,331,True,2024-02-22T05:10:42Z,R_1n3ZNxfNqC5twhX,anonymous,EN,1,NA,NA,NA,NA,0,0,1.1319999999999999,0,Подтверждаю,53,Ленинградская область,В городе / поселке / селе 100 тыс. и менее жителей,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Скорее доверяют,"Отчасти доверяют, отчасти не доверяют",Затрудняюсь ответить,Затрудняюсь ответить,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона","В чем-то согласны, в чем-то нет","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Затрудняюсь ответить,Иногда,Телевидение,NA,2,NA,NA,"Cкорее, одобряю",NA,NA,NA,NA,NA,"Cкорее, одобряю",3,абсолютно не применимо,Затрудняюсь ответить,скорее неприменимо,частично применимо,частично применимо,Нет,Затрудняюсь ответить,Нет,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит",Практически ничего не изменилось,Затрудняюсь ответить,458,Qual5353-8-11-Rissianx2panel,NA,331,NA,NA,F,3nmiAWORXSV9mAJaOXfgTD,5,.75,1,NA,20962598,1663,NA,anonymous,NA,45-54,NA,331,Man,BA-,45-54,153742.125,48,0.029447852760736196,February Survey,7379622,0.061771469997981276,Census 2020,2.0976561686814477
