StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,RelevantID_First Click,RelevantID_Last Click,RelevantID_Page Submit,RelevantID_Click Count,Consent 1,Q1,Q2,Q3,Q4,Q5,Q6_1,Q7,Q8,Q9_1,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q11,Q12,DV1A,DV1B,DV1C,DV1D,DV2,DV3,Q16_1,Q16_2,Q16_3,Q17_1,Q17_2,Q18_1,Q18_2,Q18_3,Q19,Q20_1,Q21,Q22,Q23,SC0,opp,Q_TotalDuration,rid,RISN,V,transaction_id,expected_loi,expected_ir,gc,term,SVID,PS,Q_BallotBoxStuffing,Q_CHL,age,LS,ClientDuration,gender,age_group,university_education,weight_poststratify,count,sample_proportion,source.x,Freq,population_proportion,source.y,weight_manually_calculated
28/03/2024 03:40,28/03/2024 03:44,IP Address,100,225,TRUE,28/03/2024 03:44,R_2EyjGiNM3PmD7er,anonymous,EN,1,NA,0,0,NA,0,0,1.178,0,Подтверждаю,27,Москва,Москва,Женский,Высшее образование (бакалавриат / специалитет),71,Нет,Иногда,Скорее согласны,Телевидение,Социальные сети и мессенджеры,NA,NA,NA,Узнаю новости от родственников и знакомых,NA,NA,NA,Отказ от ответа,"Подчиняться закону во всех случаях, без исключений",NA,NA,Полностью контролирует политическую ситуацию,NA,Большинство,Полностью контролирует элиты,Скорее не соблюдаются,Полностью не соблюдаются,Полностью не соблюдаются,Полностью не оправдано,Полностью не оправдано,Отказ от ответа,Отказ от ответа,Отказ от ответа,1 Голосование не влияет на ситуацию в стране,Невероятна,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит",Практически ничего не изменилось,"Стало немного хуже, чем раньше",179,Qual0196-1602Russia,225,NA,NA,FALSE,7nfTLD0FPcAdiixAoRvsW1,5,0.75,1,NA,23476773,598,NA,anonymous,25-34,NA,225,Woman,25-34,BA+,22508.793939393938,165,0.10122699386503067,March Survey,3713951,0.03108779999442689,Census 2020,0.30710978176312625
28/03/2024 03:40,28/03/2024 03:44,IP Address,100,238,TRUE,28/03/2024 03:44,R_2EcoHh7OWs5PJlk,anonymous,EN,1,NA,0,0,NA,0,0,1.067,0,Подтверждаю,59,Республика Алтай,В городе / поселке / селе 100 тыс. и менее жителей,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",81,Да,Иногда,Совершенно согласны,Телевидение,Социальные сети и мессенджеры,NA,Интернет-ресурсы,NA,NA,NA,NA,NA,Одобряю,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",NA,NA,Скорее контролирует политическую ситуацию,NA,Подавляющее большинство,Скорее контролирует элиты,Полностью соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее не оправдано,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,Вполне вероятна,"На повседневные расходы денег достаточно, но уже покупка одежды представляет для Вас трудности",Практически ничего не изменилось,"Стало немного лучше, чем раньше",35,Qual0196-1602Russia,238,NA,NA,FALSE,07vjfe78X3MHMADqlp6G85,5,0.75,1,NA,23476773,598,NA,anonymous,55+,NA,238,Man,55-64,BA-,81262.92307692308,91,0.0558282208588957,March Survey,7394926,0.061899572843472424,Census 2020,1.1087505904929678
28/03/2024 03:41,28/03/2024 03:45,IP Address,100,217,TRUE,28/03/2024 03:45,R_4uqA1qQVbByGDLV,anonymous,EN,1,NA,NA,NA,NA,0,0,1.827,0,Подтверждаю,37,Москва,Москва,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",80,Да,Очень редко,Совершенно согласны,NA,NA,NA,Интернет-ресурсы,NA,NA,NA,NA,NA,Одобряю,"Подчиняться закону во всех случаях, без исключений",Полностью контролирует политическую ситуацию,NA,NA,NA,Подавляющее большинство,Полностью контролирует элиты,Полностью соблюдаются,Полностью соблюдаются,Полностью соблюдаются,Затрудняюсь ответить,Затрудняюсь ответить,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Затрудняюсь ответить,Затрудняюсь ответить,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна",Практически ничего не изменилось,Практически ничего не изменилось,79,Qual0196-1602Russia,217,NA,NA,FALSE,3n9Ny1LKJx7JpfxCPiCkmV,5,0.75,1,NA,23476773,598,NA,anonymous,35-44,NA,217,Man,35-44,BA-,128658.23188405797,69,0.04233128834355828,March Survey,8877418,0.07430884124505821,Census 2020,1.7554117569484766
28/03/2024 03:41,28/03/2024 03:45,IP Address,100,233,TRUE,28/03/2024 03:45,R_8VkF7pikHLean4k,anonymous,EN,1,NA,0,0,NA,0,0,1.008,0,Подтверждаю,20,Мурманская область,В городе 100-250 тыс. жителей,Женский,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",10,Нет,Иногда,Скорее согласны,NA,Социальные сети и мессенджеры,NA,Интернет-ресурсы,NA,NA,NA,NA,NA,Затрудняюсь ответить,"Подчиняться закону во всех случаях, без исключений",Скорее не контролирует политическую ситуацию,NA,NA,NA,Подавляющее большинство,Скорее контролирует элиты,Скорее соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Полностью не оправдано,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,Очень вероятна,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна",Практически ничего не изменилось,Практически ничего не изменилось,174,Qual0196-1602Russia,233,NA,NA,FALSE,3MLnQNaEJdeyEUPe28zf4x,5,0.75,1,NA,23476773,598,NA,anonymous,18-24,NA,233,Woman,18-24,BA-,62838.68493150684,73,0.04478527607361963,March Survey,4587224,0.0383975723539796,Census 2020,0.8573704511915994
28/03/2024 03:41,28/03/2024 03:45,IP Address,100,211,TRUE,28/03/2024 03:45,R_4P7Ki9kLhLUHvDs,anonymous,EN,0.899999976,NA,0,0,NA,0,0,1.106,0,Подтверждаю,24,Москва,Москва,Женский,Незаконченное высшее (не менее трех курсов вуза),86,Затрудняюсь ответить,Очень редко,Совершенно согласны,Телевидение,Социальные сети и мессенджеры,NA,Интернет-ресурсы,NA,Узнаю новости от родственников и знакомых,NA,NA,NA,Одобряю,"Подчиняться закону во всех случаях, без исключений",NA,Скорее контролирует политическую ситуацию,NA,NA,Большинство,Скорее не контролирует элиты,Скорее соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Полностью не оправдано,Отказ от ответа,Скорее не оправдано,Совершенно оправданно,Совершенно оправданно,4,Вполне вероятна,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна","Стало немного лучше, чем раньше","Стало немного лучше, чем раньше",92,Qual0196-1602Russia,211,NA,NA,FALSE,7l2g8ZYVSy5YUMNM6BoufD,5,0.75,1,NA,23476773,598,NA,anonymous,18-24,NA,211,Woman,18-24,BA-,62838.68493150684,73,0.04478527607361963,March Survey,4587224,0.0383975723539796,Census 2020,0.8573704511915994
28/03/2024 03:41,28/03/2024 03:45,IP Address,100,252,TRUE,28/03/2024 03:45,R_71Fv8OAcaeJMZR7,anonymous,EN,1,NA,0,0,NA,0,0,1.009,0,Подтверждаю,37,Пермский край,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (бакалавриат / специалитет),60,Нет,Иногда,Совершенно согласны,Телевидение,Социальные сети и мессенджеры,NA,Интернет-ресурсы,Радио,NA,NA,NA,NA,Одобряю,"Подчиняться закону во всех случаях, без исключений",NA,NA,Скорее контролирует политическую ситуацию,NA,Большинство,Скорее контролирует элиты,Полностью соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее не оправдано,5 Голосование влияет на ситуацию в стране,Невероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна",Практически ничего не изменилось,Практически ничего не изменилось,98,Qual0196-1602Russia,252,NA,NA,FALSE,6HlObq0qDBZXFUm8AX3wxJ,5,0.75,1,NA,23476773,598,NA,anonymous,35-44,NA,252,Woman,35-44,BA+,39242.69642857143,112,0.0687116564417178,March Survey,4395182,0.036790075839747256,Census 2020,0.5354269965963216
28/03/2024 03:41,28/03/2024 03:45,IP Address,100,265,TRUE,28/03/2024 03:45,R_3JPVm7vW8AHAiPm,anonymous,EN,1,NA,NA,NA,NA,0,0,1.114,0,Подтверждаю,45,Томская область,В городе / поселке / селе 100 тыс. и менее жителей,Женский,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",94,Да,Очень редко,Скорее согласны,Телевидение,Социальные сети и мессенджеры,NA,NA,NA,NA,NA,NA,NA,Одобряю,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Полностью контролирует политическую ситуацию,NA,NA,NA,Большинство,Скорее не контролирует элиты,Полностью соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,Маловероятна,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит",Практически ничего не изменилось,"Стало немного лучше, чем раньше",102,Qual0196-1602Russia,265,NA,NA,FALSE,4aT6cJF29dwY7jzL1O6TES,5,0.75,1,NA,23476773,598,NA,anonymous,45-54,NA,265,Woman,45-54,BA-,137495.72222222222,54,0.033128834355828224,March Survey,7424769,0.062149375066289494,Census 2020,1.875990395519479
28/03/2024 03:40,28/03/2024 03:45,IP Address,100,286,TRUE,28/03/2024 03:45,R_4roPFc2PMLojPJa,anonymous,EN,0.899999976,NA,0,0,NA,0,0,1.111,0,Подтверждаю,44,Санкт-Петербург,Санкт-Петербург,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",52,Нет,Постоянно,"В чем-то согласны, в чем-то нет",Телевидение,NA,NA,Интернет-ресурсы,NA,NA,NA,NA,NA,Не одобряю,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",NA,Скорее контролирует политическую ситуацию,NA,NA,"Многие, но не большинство",Скорее не контролирует элиты,Полностью не соблюдаются,Скорее не соблюдаются,Скорее не соблюдаются,Скорее не оправдано,Совершенно оправданно,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,1 Голосование не влияет на ситуацию в стране,Невероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного хуже, чем раньше","Стало немного хуже, чем раньше",92,Qual0196-1602Russia,286,NA,NA,FALSE,03rhGUJV0XfM9zJLKHpr2p,5,0.75,1,NA,23476773,598,NA,anonymous,35-44,NA,286,Man,35-44,BA-,128658.23188405797,69,0.04233128834355828,March Survey,8877418,0.07430884124505821,Census 2020,1.7554117569484766
28/03/2024 03:42,28/03/2024 03:45,IP Address,100,214,TRUE,28/03/2024 03:45,R_5gCfhQR0jqpSls5,anonymous,EN,0.899999976,NA,NA,NA,NA,0,0,1.051,0,Подтверждаю,44,Тверская область,В городе / поселке / селе 100 тыс. и менее жителей,Женский,"Законченное среднее образование (школа, лицей, гимназия)",82,Нет,Иногда,Скорее не согласны,NA,Социальные сети и мессенджеры,NA,NA,NA,NA,NA,NA,NA,Не одобряю,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",NA,Вовсе не контролирует политическую ситуацию,NA,NA,Незначительное меньшинство,Скорее контролирует элиты,Полностью не соблюдаются,Полностью не соблюдаются,Полностью не соблюдаются,Полностью не оправдано,Скорее не оправдано,Затрудняюсь ответить,Полностью не оправдано,Полностью не оправдано,1 Голосование не влияет на ситуацию в стране,Затрудняюсь ответить,Денег хватает только на самое необходимое ,"Стало значительно хуже, чем раньше","Стало значительно хуже, чем раньше",89,Qual0196-1602Russia,214,NA,NA,FALSE,0cIyzHsvTWoTcpvQzdnm25,5,0.75,1,NA,23476773,598,NA,anonymous,35-44,NA,214,Woman,35-44,BA-,135884.6393442623,61,0.03742331288343558,March Survey,8288963,0.06938315123306815,Census 2020,1.85400879524428
28/03/2024 03:41,28/03/2024 03:45,IP Address,100,279,TRUE,28/03/2024 03:45,R_2LjgzjNU9Scc3Yd,anonymous,EN,1,NA,0,0,NA,0,0,2.087,0,Подтверждаю,23,Краснодарский край,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",81,Затрудняюсь ответить,Очень редко,"В чем-то согласны, в чем-то нет",NA,Социальные сети и мессенджеры,NA,NA,NA,NA,NA,NA,NA,Затрудняюсь ответить,Затрудняюсь ответить,NA,NA,NA,Полностью контролирует политическую ситуацию,Подавляющее большинство,Затрудняюсь ответить,Затрудняюсь ответить,Полностью не соблюдаются,Скорее не соблюдаются,Скорее не оправдано,Скорее не оправдано,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,1 Голосование не влияет на ситуацию в стране,Невероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного хуже, чем раньше","Стало значительно хуже, чем раньше",253,Qual0196-1602Russia,279,NA,NA,FALSE,13KIvt7PQpWgmm5iiIVC5S,5,0.75,1,NA,23476773,598,NA,anonymous,18-24,NA,279,Woman,18-24,BA-,62838.68493150684,73,0.04478527607361963,March Survey,4587224,0.0383975723539796,Census 2020,0.8573704511915994
