StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,RelevantID_First Click,RelevantID_Last Click,RelevantID_Page Submit,RelevantID_Click Count,Consent 1,Q1,Q2,Q3,Q4,Q5,Q6,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q12,Q11,Q14,Q13,Q16_1,Q16_2,Q17_1,Q17_2,Q17_3,Q136,DV1 - Group 8,DV1 - Group 7,DV1 - Group 6,DV1 - Group 5,DV1 - Group 4,DV1 - Group 3,DV1 - Group 2,DV1 - Group 1,DV1A,DV1B,DV1C_1,DV1C_2,DV1C_3,DV1C_4,DV1C_5,DV1D_1,DV1D_2,DV1D_3,DV2A,DV3A,DV4A_1,DV4A_2,DV4A_3,DV5A,DV6A,DV7A_1,DV7A_2,DV7A_3,DV2B,DV3B,DV4B_1,DV4B_2,DV4B_3,DV5B,DV6B,DV7B_1,DV7B_2,DV7B_3,DV2C,DV3C,DV4C_1,DV4C_2,DV4C_3,DV5C,DV6C,DV7C_1,DV7C_2,DV7C_3,Q15,Q19,Q20,Q21,SC0,opp,Q_TotalDuration,rid,RISN,transaction_id,expected_loi,expected_ir,gc,term,SVID,PS,Q_BallotBoxStuffing,Q_CHL,Country,expected_n,tg,V,Edu,age,LS,ClientDuration,university_education,gender,age_group,weight_poststratify,count,sample_proportion,source.x,Freq,population_proportion,source.y,weight_manually_calculated
45540.372523148151,45540.37572916667,IP Address,100,277,True,45540.375739525465,R_8WTnLmLKR03cgRi,anonymous,EN,0.80000001192092896,NA,0,25,NA,0,0,1.1200000000000001,0,Подтверждаю,44,Свердловская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской,Высшее образование (бакалавриат / специалитет),Да,Телевидение,Социальные сети и мессенджеры,Газеты и журналы (в т.ч. их электронные версии),Интернет-ресурсы,Радио,Узнаю новости от родственников и знакомых,NA,NA,NA,Одобряю,Подавляющее большинство,Владимир Путин,"Подчиняться закону во всех случаях, без исключений","Я считаю этот способ допустимым, и сам(а) участвовал (а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Полностью соблюдаются,Полностью соблюдаются,Полностью соблюдаются,Совершенно согласны,NA,NA,"Cкорее, не одобряю  ",NA,NA,NA,NA,NA,"Cкорее, не одобряю  ",10 (полностью оправданно),Частично применимо,Частично применимо,Частично применимо,Частично применимо,Частично применимо,Да,Нет,Да,Скорее оправдана,Очень отрицательно,Полностью поддерживаю (5),Полностью поддерживаю (5),Совсем не поддерживаю  (0),Полностью оправдана,Очень негативно,Полностью поддерживаю  (5),Полностью поддерживаю  (5),Совершенно не поддерживаю (0),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Такого не может случиться,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного лучше, чем раньше","Стало значительно лучше, чем раньше",112,Qual0196-2908Russia,277,NA,NA,2apJxHT9Knz1rEQ3e4WOR3,10,.80,1,NA,33724469,1694,NA,anonymous,RU,900,NA,NA,T1,44,NA,277,BA+,Man,35-44,42964.53424657534,73,0.07917570498915401,September Survey,3136411,0.026253474498807453,Census 2020,0.33158497928630787
45540.372569444444,45540.376481481479,IP Address,100,338,True,45540.376496574077,R_8uVEX8QJCe8bKv9,anonymous,EN,1,NA,0,0,NA,0,0,1.145,0,Подтверждаю,54,Санкт-Петербург,Санкт-Петербург,Мужской,Высшее образование (магистратура),Да,Телевидение,Социальные сети и мессенджеры,Газеты и журналы (в т.ч. их электронные версии),Интернет-ресурсы,Радио,NA,NA,NA,NA,Не одобряю,"Многие, но не большинство",Опустил(а) недействительный бюллетень / испортил(а) или унесл(а) бюллетень,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона","Я считаю такой способ допустимым, но сам(а) не участвовал(а)","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Полностью не соблюдаются,Полностью не соблюдаются,Полностью не соблюдаются,Совершенно не согласны,NA,"Cкорее, одобряю",NA,NA,NA,NA,NA,NA,"Определенно, одобряю  ",0 (совершенно не оправданно),Абсолютно не применимо,Частично применимо,Абсолютно не применимо,Полностью применимо,Полностью применимо,Нет,Скорее да,Да,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Скорее оправдана,Скорее положительно,Совсем не поддерживаю  (0),Совсем не поддерживаю  (0),Полностью поддерживаю  (5),Полностью оправдана,Очень положительно,Совсем не поддерживаю  (0),Совсем не поддерживаю  (0),Полностью поддерживаю  (5),Это вполне вероятно,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного хуже, чем раньше","Стало значительно хуже, чем раньше",101,Qual0196-2908Russia,338,NA,NA,603DznyzrI568JLJFlSs7x,10,.80,1,NA,33724469,1694,NA,anonymous,RU,900,NA,NA,T3,54,NA,338,BA+,Man,45-54,32886.13559322034,59,0.06399132321041215,September Survey,1940282,0.016241220939314113,Census 2020,0.25380348654317986
45540.372708333336,45540.376863425925,IP Address,100,359,True,45540.376880902775,R_2dW9tiKfAljyBny,anonymous,EN,0.89999997615814209,NA,0,0,NA,0,0,1.0209999999999999,0,Подтверждаю,34,Ивановская область,В городе 500 тыс.-1 млн. жителей,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Да,Телевидение,Социальные сети и мессенджеры,NA,NA,Радио,NA,NA,NA,NA,Одобряю,Подавляющее большинство,Владимир Путин,"Подчиняться закону во всех случаях, без исключений","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Полностью соблюдаются,Скорее соблюдаются,Полностью соблюдаются,Совершенно согласны,NA,NA,NA,NA,"Oпределенно, не одобряю ",NA,NA,NA,"Cкорее, одобряю",10 (полностью оправданно),Частично применимо,Скорее не применимо,Частично применимо,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Скорее нет,Скорее да,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Затрудняюсь ответить,Нейтрально,4,4,Затрудняюсь ответить,Полностью не оправдана,Очень отрицательно,Полностью поддерживаю  (5),Полностью поддерживаю  (5),Совсем не поддерживаю  (0),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Это маловероятно,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит",Практически ничего не изменилось,Практически ничего не изменилось,47,Qual0196-2908Russia,359,NA,NA,5H0lot1f3VVrrdZxd7aLsr,10,.80,1,NA,33724469,1694,NA,anonymous,RU,900,NA,NA,T2,34,NA,359,BA-,Man,25-34,251286.06896551722,29,0.031453362255965296,September Survey,7287296,0.06099865091063051,Census 2020,1.9393364186069422
45540.373460648145,45540.377071759256,IP Address,100,311,True,45540.377079513892,R_2NX4LBz0Oc1plgl,anonymous,EN,1,NA,0,0,NA,0,0,1.212,0,Подтверждаю,26,Тюменская область,Затрудняюсь ответить,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Нет,Телевидение,NA,NA,NA,NA,NA,NA,NA,NA,Одобряю,Подавляющее большинство,Владимир Путин,Затрудняюсь ответить,Затрудняюсь ответить,NA,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить   ,NA,NA,NA,NA,NA,NA,NA,Затрудняюсь ответить   ,8,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Полностью оправдана,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Скорее оправдана,Скорее отрицательно,3,4,4,Это маловероятно,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало значительно лучше, чем раньше","Стало немного лучше, чем раньше",289,Qual0196-2908Russia,311,NA,NA,0yGuvda23OEhx6tdPN78Ie,10,.80,1,NA,33724469,1694,NA,anonymous,RU,900,NA,NA,T3,26,NA,311,BA-,Man,25-34,251286.06896551722,29,0.031453362255965296,September Survey,7287296,0.06099865091063051,Census 2020,1.9393364186069422
45540.373136574075,45540.377118055556,IP Address,100,344,True,45540.377135613424,R_8RTSXBgFpMQPVz6,anonymous,EN,0.60000002384185791,NA,0,0,NA,0,0,1.0169999999999999,0,Подтверждаю,42,Москва,Москва,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Да,Телевидение,Социальные сети и мессенджеры,Газеты и журналы (в т.ч. их электронные версии),Интернет-ресурсы,Радио,Узнаю новости от родственников и знакомых,NA,NA,NA,Одобряю,Подавляющее большинство,Владимир Путин,"Подчиняться закону во всех случаях, без исключений","Я считаю такой способ допустимым, но сам(а) не участвовал(а)","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Полностью соблюдаются,Скорее соблюдаются,Полностью соблюдаются,Совершенно согласны,Затрудняюсь ответить   ,NA,NA,NA,NA,NA,NA,NA,Затрудняюсь ответить   ,5,Затрудняюсь ответить,Полностью применимо,Затрудняюсь ответить,Затрудняюсь ответить,Полностью применимо,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Затрудняюсь ответить,Нейтрально,3,3,3,Полностью оправдана,Очень отрицательно,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Это маловероятно,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна",Практически ничего не изменилось,"Стало немного хуже, чем раньше",86,Qual0196-2908Russia,344,NA,NA,6lTfqhsKOZ9LOIVeCZuNFk,10,.80,1,NA,33724469,1694,NA,anonymous,RU,900,NA,NA,T2,42,NA,344,BA-,Man,35-44,167498.45283018867,53,0.057483731019522775,September Survey,8877418,0.07430884124505821,Census 2020,1.2926934269423334
45540.373425925929,45540.377349537041,IP Address,100,339,True,45540.377365752312,R_8Jxe994eDOGS6mh,anonymous,EN,1,NA,0,0,NA,0,0,1.1200000000000001,0,Подтверждаю,31,Ленинградская область,В городе / поселке / селе 100 тыс. и менее жителей,Мужской,Высшее образование (магистратура),Нет,NA,Социальные сети и мессенджеры,NA,NA,NA,Узнаю новости от родственников и знакомых,NA,NA,NA,Не одобряю,Большинство,Владислав Даванков,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона","Я считаю такой способ допустимым, но сам(а) не участвовал(а)","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Скорее не соблюдаются,Полностью не соблюдаются,Полностью не соблюдаются,"В чем-то согласны, в чем-то нет",NA,NA,NA,NA,NA,NA,NA,"Cкорее, одобряю","Cкорее, одобряю",0 (совершенно не оправданно),Абсолютно не применимо,Полностью применимо,Скорее не применимо,Затрудняюсь ответить,Затрудняюсь ответить,Нет,Да,Нет,Скорее оправдана,Скорее положительно,Совсем не поддерживаю  (0),2,Полностью поддерживаю (5),Полностью оправдана,Очень положительно,Совершенно не поддерживаю (0),Совершенно не поддерживаю (0),Полностью поддерживаю  (5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Это вполне вероятно,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного хуже, чем раньше","Стало немного хуже, чем раньше",68,Qual0196-2908Russia,339,NA,NA,416w512d82KbDdv1273F9J,10,.80,1,NA,33724469,1694,NA,anonymous,RU,900,NA,NA,T1,31,NA,339,BA+,Man,25-34,62960.511627906984,43,0.046637744034707156,September Survey,2707302,0.02266159760872233,Census 2020,0.485906813842837
45540.373738425929,45540.377384259256,IP Address,100,314,True,45540.377390833331,R_2EiAmwO0NdMpCdd,anonymous,EN,1,NA,0,0,NA,0,0,1.298,0,Подтверждаю,27,Москва,Москва,Женский,Высшее образование (бакалавриат / специалитет),Да,Телевидение,Социальные сети и мессенджеры,NA,Интернет-ресурсы,NA,NA,NA,NA,NA,Одобряю,Большинство,Леонид Слуцкий,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона","Я считаю этот способ допустимым, и сам(а) участвовал (а)",Отказ от ответа,Полностью соблюдаются,Затрудняюсь ответить,Затрудняюсь ответить,Совершенно согласны,NA,NA,NA,NA,NA,NA,Затрудняюсь ответить   ,NA,Затрудняюсь ответить   ,Затрудняюсь ответить   ,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Затрудняюсь ответить,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного хуже, чем раньше",Затрудняюсь ответить,169,Qual0196-2908Russia,314,NA,NA,72kfoxsmkfKkSCmxsC9G6U,10,.80,1,NA,33724469,1694,NA,anonymous,RU,900,NA,NA,T2,27,NA,314,BA+,Woman,25-34,30949.591666666667,120,0.1301518438177874,September Survey,3713951,0.03108779999442689,Census 2020,0.23885792995717997
45540.37327546296,45540.377465277779,IP Address,100,361,True,45540.37748072917,R_2EsMGhtuN5NYVY4,anonymous,EN,0.80000001192092896,NA,0,0,NA,0,0,1.7509999999999999,0,Подтверждаю,43,Калининградская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Нет,Телевидение,Социальные сети и мессенджеры,NA,Интернет-ресурсы,NA,Узнаю новости от родственников и знакомых,NA,NA,NA,Одобряю,Большинство,Не участвовал(а) в выборах,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Затрудняюсь ответить,Скорее соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Совершенно согласны,NA,NA,NA,NA,NA,NA,NA,Затрудняюсь ответить   ,Затрудняюсь ответить   ,Затрудняюсь ответить   ,Скорее не применимо,Скорее не применимо,Полностью применимо,Частично применимо,Частично применимо,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Затрудняюсь ответить,Нейтрально,Затрудняюсь ответить,Полностью поддерживаю  (5),Затрудняюсь ответить,Затрудняюсь ответить,Нейтрально,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит",Практически ничего не изменилось,Практически ничего не изменилось,59,Qual0196-2908Russia,361,NA,NA,2H0agG8pw6xWaBgOsNFLSr,10,.80,1,NA,33724469,1694,NA,anonymous,RU,900,NA,NA,T3,43,NA,361,BA-,Woman,35-44,296034.39285714284,28,0.03036876355748373,September Survey,8288963,0.06938315123306815,Census 2020,2.284688051317459
45540.374027777776,45540.377789351849,IP Address,100,325,True,45540.377797997688,R_2yuSpR0wgZ3Qjuh,anonymous,EN,0.89999997615814209,NA,0,0,NA,0,0,1.2050000000000001,0,Подтверждаю,37,Оренбургская область,В городе 500 тыс.-1 млн. жителей,Женский,Незаконченное высшее (не менее трех курсов вуза),Да,Телевидение,Социальные сети и мессенджеры,Газеты и журналы (в т.ч. их электронные версии),Интернет-ресурсы,Радио,Узнаю новости от родственников и знакомых,NA,NA,NA,Одобряю,Большинство,Владимир Путин,"Подчиняться закону во всех случаях, без исключений","Я считаю такой способ допустимым, но сам(а) не участвовал(а)","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Полностью соблюдаются,Полностью соблюдаются,Полностью соблюдаются,Совершенно согласны,NA,NA,NA,NA,NA,NA,NA,"Cкорее, одобряю","Определенно, одобряю  ",10 (полностью оправданно),Скорее не применимо,Полностью применимо,Полностью применимо,Полностью применимо,Полностью применимо,Скорее нет,Да,Да,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Полностью оправдана,Скорее положительно,Полностью поддерживаю (5),Полностью поддерживаю (5),3,Полностью оправдана,Нейтрально,Полностью поддерживаю  (5),Полностью поддерживаю  (5),Полностью поддерживаю  (5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Это в какой-то мере вероятно,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного лучше, чем раньше",Практически ничего не изменилось,95,Qual0196-2908Russia,325,NA,NA,2XMvTpMWLoF9UwFwTXleJi,10,.80,1,NA,33724469,1694,NA,anonymous,RU,900,NA,NA,T2,37,NA,325,BA-,Woman,35-44,296034.39285714284,28,0.03036876355748373,September Survey,8288963,0.06938315123306815,Census 2020,2.284688051317459
45540.373738425929,45540.377789351849,IP Address,100,349,True,45540.377799571761,R_8XHrK0J9w08NCiB,anonymous,EN,1,NA,0,0,NA,0,0,1.1399999999999999,0,Подтверждаю,66,Ставропольский край,В городе / поселке / селе 100 тыс. и менее жителей,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Да,Телевидение,Социальные сети и мессенджеры,Газеты и журналы (в т.ч. их электронные версии),NA,NA,NA,NA,NA,NA,Одобряю,Подавляющее большинство,Владимир Путин,"Подчиняться закону во всех случаях, без исключений","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Полностью соблюдаются,Полностью соблюдаются,Полностью соблюдаются,Совершенно согласны,NA,NA,NA,NA,NA,"Oпределенно, не одобряю ",NA,NA,"Cкорее, не одобряю  ",10 (полностью оправданно),Частично применимо,Абсолютно не применимо,Частично применимо,Абсолютно не применимо,Абсолютно не применимо,Да,Нет,Да,Скорее не поддерживаю,Скорее отрицательно,Полностью поддерживаю (5),Полностью поддерживаю (5),Совсем не поддерживаю  (0),Скорее не оправдана,Очень негативно,Полностью поддерживаю  (5),Полностью поддерживаю  (5),Совершенно не поддерживаю (0),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Это маловероятно,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного лучше, чем раньше","Стало значительно лучше, чем раньше",95,Qual0196-2908Russia,349,NA,NA,7q4zwDNBZ0ZpxDO1tLEdaY,10,.80,1,NA,33724469,1694,NA,anonymous,RU,900,NA,NA,T1,66,NA,349,BA-,Man,65+,574250.5,12,0.013015184381778741,September Survey,6891006,0.05768148699010721,Census 2020,4.431860917073237
