RecordedDate,ResponseId,Duration,age,age_group,region,region_group,locality,gender,education,nationality,trust_president_Q7_1,trust_gov_Q7_2,putin_approve_Q8,president_candidate_Q9,street_action_Q10,law_Q11,protest_authorization_Q12_1,protest_arrest_participants_Q12_2,protest_arrest_organizers_Q12_3,media_foreign_websites_Q13_1,media_surveilliance_Q13_2,media_foreign_agents_Q13_3,navalny_Q14,citizen_proud_Q15,protest_participate_authorized_Q16_1,protest_participate_unauthorized_Q16_2,follow_politics_Q17,information_source_Q18,tv_channels_Q19,tv_channels_grouped_Q19,trust_regional_federal_Q20,list_experiment_control_Q21_v1,list_experiment_treatment_Q21_v2,group_experiment_v1_admin,group_experiment_v1_protesters,group_experiment_v1_police,group_experiment_v2_admin,group_experiment_v2_protesters,group_experiment_v2_police,group_experiment_v3_admin,group_experiment_v3_protesters,group_experiment_v3_police,group_experiment_v4_admin,group_experiment_v4_protesters,group_experiment_v4_police,group_experiment_v5_admin,group_experiment_v5_protesters,group_experiment_v5_police,group_experiment_v6_admin,group_experiment_v6_protesters,group_experiment_v6_police,group_experiment_v7_admin,group_experiment_v7_protesters,group_experiment_v7_police,group_experiment_v8_admin,group_experiment_v8_protesters,group_experiment_v8_police,protest_attitude_Q23,family_finance_today_Q24,russian_economy_Q25,personal_wealth_Q26,trust_others_Q27
2023-07-26 15:50:25,R_1IYrJBFjkrRMeH0,133,36,35-44,Москва,Moscow/St Petersburg,Москва,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Русские,Полностью доверяют,Полностью доверяют,Не одобряю,Сергей Миронов,2,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее не оправдано,Совершенно оправданно,Скорее оправданно,Совершенно оправданно,Не слышали о таком,no_answer,Не одобряю,"В чем-то согласны, в чем-то нет",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Я считаю такой способ недопустимым и сам(а) не участвовал(а),no_answer,Газеты и журналы (в т.ч. их электронные версии),"РБК ,ТВ Центр ",Other,Региональным,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_answer,"Определенно, одобряю",no_answer,Не поддерживаете,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного лучше, чем раньше","Стало немного лучше, чем раньше",Скорее согласны
2023-07-26 15:51:15,R_Qh5tujsPVhmVZXb,205,43,35-44,Свердловская область,Other,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской,Высшее образование (магистратура),Русские,Полностью доверяют,Полностью доверяют,Одобряю,Владимир Путин,2,"Подчиняться закону во всех случаях, без исключений",Совершенно оправданно,Скорее оправданно,Скорее оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Не одобряю,Совершенно согласны,"Я считаю этот способ допустимым, и сам(а) участвовал (а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Телевидение,"Россия 1/Россия 24 ,Первый канал ,РЕН ТВ ,НТВ ,Телеканал 360 ,Телеканал Звезда ,Пятый канал ,ОТР ,Russia Today ,ТВ Центр  ,ТНТ ,ТВ-3 ,СТС",Watches Channel 1,В равной степени региональным и федеральным,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Определенно, одобряю","Скорее, одобряю","Определенно, одобряю",NA,NA,NA,NA,NA,NA,"Поддерживаете, но не готовы принять участие","Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного лучше, чем раньше","Стало немного лучше, чем раньше",Скорее согласны
2023-07-26 15:51:28,R_z0gGKFXBseAA8z7,198,27,25-34,Москва,Moscow/St Petersburg,Москва,Мужской,Высшее образование (бакалавриат / специалитет),Русские,Полностью доверяют,Скорее доверяют,Одобряю,Владимир Путин,4,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Совершенно оправданно,Совершенно оправданно,no_answer,Скорее не оправдано,Скорее оправданно,Скорее оправданно,no_answer,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Постоянно,Социальные сети и мессенджеры,"Россия 1/Россия 24 ,Первый канал",Watches Channel 1,Скорее федеральным,1,NA,NA,NA,NA,NA,NA,NA,"Скорее, не одобряю",no_answer,"Скорее, не одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Поддерживаете, но не готовы принять участие","Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного хуже, чем раньше",Практически ничего не изменилось,Скорее не согласны
2023-07-26 15:51:53,R_3KZ6isOJHgMmBE0,198,37,35-44,Санкт-Петербург,Moscow/St Petersburg,Санкт-Петербург,Мужской,Высшее образование (бакалавриат / специалитет),Русские,Скорее не доверяют,Скорее не доверяют,no_answer,Опустили бы недействительный бюллетень / испортили или унесли бюллетень,2,"Подчиняться закону во всех случаях, без исключений",Совершенно оправданно,Скорее оправданно,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,Не одобряю,"В чем-то согласны, в чем-то нет",Я считаю такой способ недопустимым и сам(а) не участвовал(а),"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Постоянно,Социальные сети и мессенджеры,"Россия 1/Россия 24 ,Первый канал ,НТВ ,СТС",Watches Channel 1,В равной степени региональным и федеральным,NA,1,"Определенно, одобряю","Определенно, одобряю","Определенно, одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Поддерживаете, и готовы принять участие","Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного хуже, чем раньше",Практически ничего не изменилось,Скорее не согласны
2023-07-26 15:51:56,R_cAv4giE5fjQQS8V,233,45,45-54,Новосибирская область,Other,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (бакалавриат / специалитет),Русские,Скорее доверяют,Скорее доверяют,Не одобряю,no_answer,3,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",no_answer,no_answer,no_answer,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,no_answer,"В чем-то согласны, в чем-то нет","Я считаю такой способ допустимым, но сам(а) не участвовал(а)","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Иногда,Интернет-ресурсы,"РБК ,Первый канал ,НТВ ,ОТР ,ТНТ",Watches Channel 1,В равной степени региональным и федеральным,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Скорее, не одобряю",no_answer,"Скорее, одобряю",NA,NA,NA,no_answer,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна",Практически ничего не изменилось,"Стало немного лучше, чем раньше",Скорее не согласны
2023-07-26 15:52:06,R_3e3OI6to1ytnvAB,168,39,35-44,Москва,Moscow/St Petersburg,Москва,Женский,Высшее образование (бакалавриат / специалитет),Русские,"Отчасти доверяют, отчасти не доверяют","Отчасти доверяют, отчасти не доверяют",no_answer,no_answer,4,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее оправданно,Скорее оправданно,Скорее оправданно,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,Не одобряю,Скорее согласны,Я считаю такой способ недопустимым и сам(а) не участвовал(а),Я считаю такой способ недопустимым и сам(а) не участвовал(а),Очень редко,Социальные сети и мессенджеры,"НТВ ,ТВ Центр  ,ТВ-3",Other,Скорее региональным,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Скорее, одобряю","Скорее, одобряю","Скорее, одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Не поддерживаете,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна",Практически ничего не изменилось,"Стало немного лучше, чем раньше",Скорее согласны
2023-07-26 15:52:17,R_3fjhKUkJVt9PhV5,261,39,35-44,Волгоградская область,Other,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (бакалавриат / специалитет),Русские,Полностью доверяют,Полностью доверяют,Одобряю,Владимир Путин,"5
влияют на ситуацию в стране","Подчиняться закону во всех случаях, без исключений",Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее оправданно,Не одобряю,Совершенно согласны,Я считаю такой способ недопустимым и сам(а) не участвовал(а),Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Социальные сети и мессенджеры,"Россия 1/Россия 24 ,РБК ,Первый канал ,РЕН ТВ ,Телеканал Дождь ,ТВ Центр  ,ТНТ ,ТВ-3",Watches both Channel 1 and TV Rain,Исключительно федеральным,2,NA,NA,NA,NA,"Скорее, не одобряю","Скорее, одобряю","Скорее, не одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Не поддерживаете,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна","Стало немного лучше, чем раньше","Стало немного лучше, чем раньше",Скорее согласны
2023-07-26 15:52:18,R_12bhXv39cSztxhy,228,46,45-54,Воронежская область,Other,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской,Высшее образование (бакалавриат / специалитет),Русские,no_answer,no_answer,no_answer,Павел Грудинин,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,Скорее согласны,no_answer,no_answer,Иногда,Социальные сети и мессенджеры,Ничего из перечисленного,Other,no_answer,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_answer,no_answer,no_answer,NA,NA,NA,NA,NA,NA,no_answer,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало значительно хуже, чем раньше","Стало немного хуже, чем раньше",Скорее не согласны
2023-07-26 15:52:44,R_CjkjHHlh69bpZfz,226,31,25-34,Владимирская область,Other,В городе / поселке / селе 100 тыс. и менее жителей,Мужской,"Неполное среднее плюс начальное профессиональное образование (ПТУ, ФЗУ, РУ без среднего образования)",Русские,Скорее доверяют,"Отчасти доверяют, отчасти не доверяют",Одобряю,no_answer,"5
влияют на ситуацию в стране",no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,Одобряю,no_answer,no_answer,no_answer,no_answer,Телевидение,НТВ,Other,no_answer,0,NA,no_answer,no_answer,no_answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_answer,"На повседневные расходы денег достаточно, но уже покупка одежды представляет для Вас трудности",no_answer,no_answer,no_answer
2023-07-26 15:52:47,R_UuKoJzSq9tEadPz,240,55,55-64,Краснодарский край,Other,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской,Высшее образование (бакалавриат / специалитет),Русские,Полностью доверяют,Полностью доверяют,Одобряю,Владимир Путин,2,"Подчиняться закону во всех случаях, без исключений",Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Не одобряю,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Иногда,Телевидение,НТВ,Other,Федеральным,2,NA,NA,NA,NA,NA,NA,NA,"Скорее, одобряю","Скорее, не одобряю","Скорее, не одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Не поддерживаете,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна","Стало немного лучше, чем раньше","Стало немного лучше, чем раньше",Скорее согласны
