StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,RelevantID_First Click,RelevantID_Last Click,RelevantID_Page Submit,RelevantID_Click Count,Consent 1 ,Q1,Q2,Q3,Q4,Q5,Q6_1,Q7,Q8,Q9_1,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q11,Q12,DV1A,DV1B,DV1C,DV1D,DV2,DV3,Q16_1,Q16_2,Q16_3,Q17_1,Q17_2,Q18_1,Q18_2,Q18_3,Q19,Q20_1,Q21,Q22,Q23,SC0,opp,Q_TotalDuration,rid,RISN,V,transaction_id,expected_loi,expected_ir,gc,term,SVID,PS,Q_BallotBoxStuffing,Q_CHL,age,LS,ClientDuration
28/03/2024 03:40,28/03/2024 03:44,IP Address,100,225,True,28/03/2024 03:44,R_2EyjGiNM3PmD7er,anonymous,EN,1,,0,0,,0,0,1.178,0,Подтверждаю,27,Москва,Москва,Женский,Высшее образование (бакалавриат / специалитет),71,Нет,Иногда ,Скорее согласны ,Телевидение ,Социальные сети и мессенджеры ,,,,Узнаю новости от родственников и знакомых ,,,,Отказ от ответа ,"Подчиняться закону во всех случаях, без исключений ",,,Полностью контролирует политическую ситуацию ,,Большинство,Полностью контролирует элиты,Скорее не соблюдаются,Полностью не соблюдаются,Полностью не соблюдаются,Полностью не оправдано,Полностью не оправдано,Отказ от ответа,Отказ от ответа,Отказ от ответа,1 Голосование не влияет на ситуацию в стране,Невероятна,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит ",Практически ничего не изменилось ,"Стало немного хуже, чем раньше ",179,Qual0196-1602Russia,225,,,F,7nfTLD0FPcAdiixAoRvsW1,5,.75,1,,23476773,598,,anonymous,25-34,,225
28/03/2024 03:40,28/03/2024 03:44,IP Address,100,238,True,28/03/2024 03:44,R_2EcoHh7OWs5PJlk,anonymous,EN,1,,0,0,,0,0,1.067,0,Подтверждаю,59,Республика Алтай,В городе / поселке / селе 100 тыс. и менее жителей,Мужской ,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",81,Да,Иногда ,Совершенно согласны,Телевидение ,Социальные сети и мессенджеры ,,Интернет-ресурсы ,,,,,,Одобряю  ,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона ",,,Скорее контролирует политическую ситуацию,,Подавляющее большинство,Скорее контролирует элиты,Полностью соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее не оправдано,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,Вполне вероятна,"На повседневные расходы денег достаточно, но уже покупка одежды представляет для Вас трудности ",Практически ничего не изменилось ,"Стало немного лучше, чем раньше ",35,Qual0196-1602Russia,238,,,F,07vjfe78X3MHMADqlp6G85,5,.75,1,,23476773,598,,anonymous,55+,,238
28/03/2024 03:41,28/03/2024 03:45,IP Address,100,217,True,28/03/2024 03:45,R_4uqA1qQVbByGDLV,anonymous,EN,1,,,,,0,0,1.827,0,Подтверждаю,37,Москва,Москва,Мужской ,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",80,Да,Очень редко ,Совершенно согласны,,,,Интернет-ресурсы ,,,,,,Одобряю  ,"Подчиняться закону во всех случаях, без исключений ",Полностью контролирует политическую ситуацию ,,,,Подавляющее большинство,Полностью контролирует элиты,Полностью соблюдаются,Полностью соблюдаются,Полностью соблюдаются,Затрудняюсь ответить,Затрудняюсь ответить,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Затрудняюсь ответить,Затрудняюсь ответить,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна ",Практически ничего не изменилось ,Практически ничего не изменилось ,79,Qual0196-1602Russia,217,,,F,3n9Ny1LKJx7JpfxCPiCkmV,5,.75,1,,23476773,598,,anonymous,35-44,,217
28/03/2024 03:41,28/03/2024 03:45,IP Address,100,233,True,28/03/2024 03:45,R_8VkF7pikHLean4k,anonymous,EN,1,,0,0,,0,0,1.008,0,Подтверждаю,20,Мурманская область,В городе 100-250 тыс. жителей,Женский,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",10,Нет,Иногда ,Скорее согласны ,,Социальные сети и мессенджеры ,,Интернет-ресурсы ,,,,,,Затрудняюсь ответить  ,"Подчиняться закону во всех случаях, без исключений ",Скорее не контролирует политическую ситуацию,,,,Подавляющее большинство,Скорее контролирует элиты,Скорее соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Полностью не оправдано,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,Очень вероятна,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна ",Практически ничего не изменилось ,Практически ничего не изменилось ,174,Qual0196-1602Russia,233,,,F,3MLnQNaEJdeyEUPe28zf4x,5,.75,1,,23476773,598,,anonymous,18-24,,233
28/03/2024 03:41,28/03/2024 03:45,IP Address,100,211,True,28/03/2024 03:45,R_4P7Ki9kLhLUHvDs,anonymous,EN,0.899999976,,0,0,,0,0,1.106,0,Подтверждаю,24,Москва,Москва,Женский,Незаконченное высшее (не менее трех курсов вуза),86,Затрудняюсь ответить,Очень редко ,Совершенно согласны,Телевидение ,Социальные сети и мессенджеры ,,Интернет-ресурсы ,,Узнаю новости от родственников и знакомых ,,,,Одобряю  ,"Подчиняться закону во всех случаях, без исключений ",,Скорее контролирует политическую ситуацию,,,Большинство,Скорее не контролирует элиты,Скорее соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Полностью не оправдано,Отказ от ответа,Скорее не оправдано,Совершенно оправданно,Совершенно оправданно,4,Вполне вероятна,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна ","Стало немного лучше, чем раньше ","Стало немного лучше, чем раньше ",92,Qual0196-1602Russia,211,,,F,7l2g8ZYVSy5YUMNM6BoufD,5,.75,1,,23476773,598,,anonymous,18-24,,211
28/03/2024 03:41,28/03/2024 03:45,IP Address,100,252,True,28/03/2024 03:45,R_71Fv8OAcaeJMZR7,anonymous,EN,1,,0,0,,0,0,1.009,0,Подтверждаю,37,Пермский край,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (бакалавриат / специалитет),60,Нет,Иногда ,Совершенно согласны,Телевидение ,Социальные сети и мессенджеры ,,Интернет-ресурсы ,Радио ,,,,,Одобряю  ,"Подчиняться закону во всех случаях, без исключений ",,,Скорее контролирует политическую ситуацию,,Большинство,Скорее контролирует элиты,Полностью соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее не оправдано,5 Голосование влияет на ситуацию в стране,Невероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна ",Практически ничего не изменилось ,Практически ничего не изменилось ,98,Qual0196-1602Russia,252,,,F,6HlObq0qDBZXFUm8AX3wxJ,5,.75,1,,23476773,598,,anonymous,35-44,,252
28/03/2024 03:41,28/03/2024 03:45,IP Address,100,265,True,28/03/2024 03:45,R_3JPVm7vW8AHAiPm,anonymous,EN,1,,,,,0,0,1.114,0,Подтверждаю,45,Томская область,В городе / поселке / селе 100 тыс. и менее жителей,Женский,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",94,Да,Очень редко ,Скорее согласны ,Телевидение ,Социальные сети и мессенджеры ,,,,,,,,Одобряю  ,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона ",Полностью контролирует политическую ситуацию ,,,,Большинство,Скорее не контролирует элиты,Полностью соблюдаются,Скорее соблюдаются,Скорее соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,Маловероятна,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит ",Практически ничего не изменилось ,"Стало немного лучше, чем раньше ",102,Qual0196-1602Russia,265,,,F,4aT6cJF29dwY7jzL1O6TES,5,.75,1,,23476773,598,,anonymous,45-54,,265
28/03/2024 03:40,28/03/2024 03:45,IP Address,100,286,True,28/03/2024 03:45,R_4roPFc2PMLojPJa,anonymous,EN,0.899999976,,0,0,,0,0,1.111,0,Подтверждаю,44,Санкт-Петербург,Санкт-Петербург,Мужской ,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",52,Нет,Постоянно ,"В чем-то согласны, в чем-то нет ",Телевидение ,,,Интернет-ресурсы ,,,,,,Не одобряю  ,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона ",,Скорее контролирует политическую ситуацию,,,"Многие, но не большинство",Скорее не контролирует элиты,Полностью не соблюдаются,Скорее не соблюдаются,Скорее не соблюдаются,Скорее не оправдано,Совершенно оправданно,Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,1 Голосование не влияет на ситуацию в стране,Невероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна ","Стало немного хуже, чем раньше ","Стало немного хуже, чем раньше ",92,Qual0196-1602Russia,286,,,F,03rhGUJV0XfM9zJLKHpr2p,5,.75,1,,23476773,598,,anonymous,35-44,,286
28/03/2024 03:42,28/03/2024 03:45,IP Address,100,214,True,28/03/2024 03:45,R_5gCfhQR0jqpSls5,anonymous,EN,0.899999976,,,,,0,0,1.051,0,Подтверждаю,44,Тверская область,В городе / поселке / селе 100 тыс. и менее жителей,Женский,"Законченное среднее образование (школа, лицей, гимназия)",82,Нет,Иногда ,Скорее не согласны ,,Социальные сети и мессенджеры ,,,,,,,,Не одобряю  ,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона ",,Вовсе не контролирует политическую ситуацию,,,Незначительное меньшинство,Скорее контролирует элиты,Полностью не соблюдаются,Полностью не соблюдаются,Полностью не соблюдаются,Полностью не оправдано,Скорее не оправдано,Затрудняюсь ответить,Полностью не оправдано,Полностью не оправдано,1 Голосование не влияет на ситуацию в стране,Затрудняюсь ответить,Денег хватает только на самое необходимое  ,"Стало значительно хуже, чем раньше ","Стало значительно хуже, чем раньше ",89,Qual0196-1602Russia,214,,,F,0cIyzHsvTWoTcpvQzdnm25,5,.75,1,,23476773,598,,anonymous,35-44,,214
28/03/2024 03:41,28/03/2024 03:45,IP Address,100,279,True,28/03/2024 03:45,R_2LjgzjNU9Scc3Yd,anonymous,EN,1,,0,0,,0,0,2.087,0,Подтверждаю,23,Краснодарский край,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",81,Затрудняюсь ответить,Очень редко ,"В чем-то согласны, в чем-то нет ",,Социальные сети и мессенджеры ,,,,,,,,Затрудняюсь ответить  ,Затрудняюсь ответить  ,,,,Полностью контролирует политическую ситуацию ,Подавляющее большинство,Затрудняюсь ответить,Затрудняюсь ответить,Полностью не соблюдаются,Скорее не соблюдаются,Скорее не оправдано,Скорее не оправдано,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,1 Голосование не влияет на ситуацию в стране,Невероятна,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна ","Стало немного хуже, чем раньше ","Стало значительно хуже, чем раньше ",253,Qual0196-1602Russia,279,,,F,13KIvt7PQpWgmm5iiIVC5S,5,.75,1,,23476773,598,,anonymous,18-24,,279
